759,-142.563774193548,2,0.7732863413772395,0.05
760,-97.04841935483958,0,0.7685357189438732,0.05
761,-111.30929032258138,1,0.8054546247434312,0.05
762,-86.25777419354766,0,0.6890357248005848,0.05
763,-102.74816129032266,0,0.8378718213350724,0.05
764,-48.16490322580565,0,0.8254538394162668,0.05
765,-86.07906451612826,0,0.849442200491515,0.05
766,-113.71270967742167,0,0.7335532978799393,0.05
767,-90.9382580645157,0,0.7027123455209678,0.05
768,-74.63045161290358,0,0.8212662921130246,0.05
769,-77.5350322580654,0,0.8032865770028396,0.05
770,-38.24651612903194,0,0.3757878641427486,0.05
771,-124.73438709677629,1,0.7692909211046839,0.05
772,-111.65396774193616,0,0.7769059958286666,0.05
773,-80.54903225806363,0,0.7474529205318412,0.05
774,-81.29490322580608,1,0.7889523812064609,0.05
775,-106.72093548387168,0,0.6707877608365048,0.05
776,-108.98458064516159,2,0.8212197088373873,0.05
777,-81.18019354838793,0,0.7852862349755444,0.05
778,-36.344483870968226,0,0.5849880969950848,0.05
779,-90.46138709677413,2,0.7478572197417249,0.05
780,-99.40541935483951,0,0.7767819958887159,0.05
781,-85.56403225806592,0,0.7845358444335045,0.05
782,-101.64838709677412,0,0.6693501044649947,0.05
783,-111.92429032258151,0,0.7772886366660317,0.05
784,-76.83980645161273,1,0.8056194876037338,0.05
785,-47.846161290322996,0,0.3884746686368464,0.05
786,-82.42206451612925,0,0.5935282238026299,0.05
787,-121.83625806451728,0,0.7811363897923562,0.05
788,-98.72870967741771,0,0.809646915413186,0.05
789,-102.72387096774075,0,0.8041397983447254,0.05
790,-98.5341612903225,0,0.7570715353224887,0.05
791,-52.16261290322669,1,0.4876359572234703,0.05
792,-120.12474193548336,4,0.7344787572000072,0.05
793,-64.05554838709678,1,0.43928662549292397,0.05
1,-42.28170967741939,0,0.3934407816330107,0.7968000000000001
794,-56.24125806451613,0,0.5948065096160076,0.05
2,-152.50529032258004,0,0.5596026189273413,0.7936128
3,-136.92896774193494,0,0.5265491198843053,0.7904383488
795,-70.34854838709474,0,0.74602457115544,0.05
4,-104.3283548387094,0,0.520556721378514,0.7872765954048
5,-171.85206451612865,2,0.5257493983735959,0.7841274890231809
