683325,49.79458064516132,5,0.7896040550698556,0.7968000000000001,338.0
683326,10.127677419354821,30,0.9081108270159594,0.7936128,486.0
683328,0.0,1,0.0,0.8,73.0
683327,32.32412903225808,31,0.8756126108012162,0.7904383488,646.0
683330,246.29922580645055,5,1.1087557840202173,0.7809909790670881,1200.0
683329,117.61896774193544,20,1.0167701801831013,0.7841274890231809,834.0
683331,26.120967741935416,30,0.9510808860623902,0.7778670151508198,649.0
683332,72.51303225806446,31,0.9996034151889623,0.7747555470902165,791.0
683334,21.853032258064516,4,0.684906915863792,0.7685698988022481,152.0
683333,122.1083870967742,20,1.0742843292820017,0.7716565249018555,1200.0
683336,65.4185806451616,31,1.1337449180571018,0.762433636730211,1200.0
683335,115.3550322580649,28,1.1251245362474067,0.7654956192070391,1200.0
683338,158.08619354838686,22,1.1428964226678575,0.756346366574557,1200.0
683340,21.43735483870967,5,0.7224817818891619,0.7503076971838257,162.0
683337,131.75980645161343,28,1.133678173890721,0.7593839021832902,1200.0
683342,76.08458064516053,31,1.077487857528844,0.7443172405295101,1200.0
683344,76.25445161290342,24,0.9531291260331893,0.7383746116811225,576.0
683339,134.38051612903217,27,1.143931542513441,0.7533209811082587,1200.0
683341,41.901806451612906,29,0.9632772802888736,0.7473064663950905,513.0
683346,114.35774193548396,26,1.0409962231436916,0.7324794287814603,1200.0
683343,110.07735483870928,28,1.1245636436961959,0.7413399715673921,1200.0
683348,84.10677419354863,26,1.0470025704277202,0.7266313130220692,744.0
683345,0.0,1,0.0,0.8,54.0
683347,0.0,1,0.0,0.8,96.0
683350,96.05625806451597,31,1.0611668821629259,0.720829888618901,797.0
683349,119.89167741935522,30,1.077905833405727,0.723724787769981,1200.0
683352,150.17058064516107,23,1.1366472739242541,0.7150747827881676,1200.0
683351,111.04238709677416,25,1.0842145105826169,0.7179465690644253,841.0
683354,187.1258064516111,11,1.0019340131706065,0.7093656257223869,1200.0
683356,0.0,1,0.0,0.8,119.0
683353,104.01954838709706,31,1.094286057230578,0.712214483657015,1200.0
683358,101.9364516129019,24,1.0936827261872126,0.6980836933948955,937.0
683355,146.406967741935,26,1.2009250147034556,0.7065281632194974,1200.0
683360,84.72703225806455,16,1.093506641613785,0.6925101931868306,497.0
683362,0.0,1,0.0,0.8,80.0
683357,123.10174193548436,28,1.1202776990517824,0.7008872423643528,1200.0
683364,152.37748387096727,26,1.194991739147754,0.6814963339690605,1196.0
683359,76.05541935483903,31,1.1113866666152339,0.6952913586213159,701.0
683361,74.05864516129031,29,1.0637413189931866,0.6897401524140833,640.0
683366,109.41890322580596,31,1.1650943484337877,0.6760552672386515,1200.0
683363,74.75329032258068,9,1.036060348725123,0.6842332670372092,391.0
683365,92.75961290322574,23,0.9952126996076538,0.6787703486331842,603.0
683368,130.9978709677416,30,1.1328296312565633,0.6706576419850181,1200.0
683367,83.32000000000002,28,1.0945692381236247,0.6733510461696968,664.0
683370,101.67870967741885,27,1.1822891943495155,0.6653031113714096,1200.0
683369,117.1229677419364,31,1.1019049317255603,0.667975011417078,1200.0
683372,69.71587096774192,31,1.088957382802214,0.6599913313302204,580.0
683374,113.87980645161285,30,1.1154286114622878,0.6547219605408798,705.0
683371,162.3099354838696,28,1.1811701090835176,0.6626418989259241,1200.0
683373,0.0,1,0.0,0.8,172.0
683376,107.27341935483886,15,1.0566850939983508,0.6494946604079215,620.0
683375,72.59529032258075,14,1.0189903473230826,0.6521030726987163,387.0
683378,69.57593548387099,28,1.0824399732050842,0.6443090950392246,519.0
683377,86.35948387096789,25,1.104082206035514,0.6468966817662898,666.0
683380,101.95851612903232,29,1.0804083112088088,0.6391649312244314,691.0
683379,107.84400000000002,17,1.1186518872305848,0.6417318586590677,559.0
683382,54.66954838709679,28,1.0671683616249055,0.6340618384135356,518.0
683381,134.18445161290347,30,1.111824386637133,0.6366082714995337,807.0
683383,107.21729032258028,30,1.166962852198764,0.6315255910598814,758.0
683384,242.20941935483785,17,1.2568134741586834,0.6289994886956419,1167.0
683386,0.0,1,0.0,0.8,114.0
683388,77.85393548387097,30,1.107172238990757,0.6189957199645812,614.0
683390,167.79245161290333,24,1.1539830875538983,0.6140536581363839,1200.0
683392,63.33470967741929,11,0.9725366160053328,0.609151053729823,317.0
683394,0.0,1,0.0,0.8,1200.0
683396,73.11858064516125,2,1.0682730450554083,0.5994629595845768,311.0
683398,148.63090322580683,23,1.1776454782711059,0.5946768473152536,796.0
683400,130.5101290322581,26,1.2211033161324898,0.5899289473662885,720.0
683402,26.248322580645137,3,0.6442555693060784,0.5852189546505161,178.0
683404,142.80774193548402,23,1.1544924471478124,0.5805465665165864,673.0
683406,35.26064516129033,5,0.8466804673466817,0.575911482729518,206.0
683408,159.38187096774212,29,1.1418901283637743,0.5713134054514055,853.0
